2025-08-10 11:36:15 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-10 11:36:15 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-10 11:36:15 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-10 11:36:15 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-10 11:36:15 | MevzuatApp | INFO | İlk çalışma kurulumu başlatılıyor...
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\config
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\raw
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\mevzuat/Anayasa
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\mevzuat/Kanun
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\mevzuat/KHK
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\mevzuat/Tüzük
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\mevzuat/Yönetmelik
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\mevzuat/Yönerge_Genelge
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\mevzuat/Diger
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\mevzuat/_Özel_Kategoriler
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\db
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\index
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\logs
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\temp/ocr
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\temp/export
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\quarantine
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\backup
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\models
2025-08-10 11:36:15 | MevzuatApp | INFO | Klasör oluşturuldu: C:\Users\klc\Documents\MevzuatDeposu\templates
2025-08-10 11:36:15 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-10 11:36:16 | MevzuatApp | ERROR | Uygulama çalışma hatası: 'MainWindow' object has no attribute 'on_favorite_selected'
2025-08-10 11:36:16 | MevzuatApp | INFO | Uygulama kapatılıyor...
2025-08-10 11:36:16 | MevzuatApp | INFO | Uygulama temiz şekilde kapatıldı
2025-08-10 11:38:03 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-10 11:38:03 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-10 11:38:03 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-10 11:38:03 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-10 11:38:03 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-10 11:38:03 | MevzuatApp | ERROR | Uygulama çalışma hatası: 'MainWindow' object has no attribute 'on_favorite_selected'
2025-08-10 11:38:03 | MevzuatApp | INFO | Uygulama kapatılıyor...
2025-08-10 11:38:03 | MevzuatApp | INFO | Uygulama temiz şekilde kapatıldı
2025-08-10 13:17:58 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-10 13:17:58 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-10 13:17:58 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-10 13:17:58 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-10 13:17:58 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-10 13:17:59 | MevzuatApp | INFO | GUI başlatıldı, uygulama hazır
2025-08-10 13:18:34 | MevzuatApp | INFO | Uygulama kapatılıyor...
2025-08-10 13:18:34 | MevzuatApp | INFO | Uygulama temiz şekilde kapatıldı
2025-08-10 14:44:17 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-10 14:44:17 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-10 14:44:17 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-10 14:44:17 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-10 14:44:17 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-10 14:44:17 | MevzuatApp | INFO | GUI başlatıldı, uygulama hazır
2025-08-10 14:44:27 | MevzuatApp | INFO | Uygulama kapatılıyor...
2025-08-10 14:44:27 | MevzuatApp | INFO | Uygulama temiz şekilde kapatıldı
2025-08-10 15:03:46 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-10 15:03:46 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-10 15:03:46 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-10 15:03:46 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-10 15:03:46 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-10 15:03:46 | MevzuatApp | INFO | GUI başlatıldı, uygulama hazır
2025-08-10 16:06:17 | MevzuatApp | INFO | Uygulama kapatılıyor...
2025-08-10 16:06:17 | MevzuatApp | INFO | Uygulama temiz şekilde kapatıldı
2025-08-10 22:30:48 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-10 22:30:48 | mevzuat_main | INFO | Mevzuat Sistemi Enhanced başlatılıyor...
2025-08-10 22:30:48 | QualityEnhancedAppManager | INFO | Logger başlatıldı: QualityEnhancedAppManager
2025-08-10 22:30:48 | QualityEnhancedAppManager | INFO | Mevzuat sistemi başlatılıyor...
2025-08-10 22:30:48 | QualityEnhancedAppManager | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-10 22:30:48 | QualityEnhancedAppManager | INFO | Enhanced initialization completed in 0.00s
2025-08-10 22:30:48 | QualityEnhancedAppManager | INFO | ✅ Enhanced initialization completed
2025-08-10 22:30:48 | QualityEnhancedAppManager | INFO | 🏥 System health: unhealthy
2025-08-10 22:30:48 | QualityEnhancedAppManager | INFO | 📊 Quality Report Generated - Success rates: 1 components
2025-08-10 22:30:48 | QualityEnhancedAppManager | ERROR | ❌ Application startup failed: ACCENT
2025-08-10 22:30:48 | QualityEnhancedAppManager | INFO | 🧹 Cleanup completed
2025-08-10 22:30:48 | QualityEnhancedAppManager | INFO | Uygulama kapatılıyor...
2025-08-10 22:30:48 | QualityEnhancedAppManager | INFO | Uygulama temiz şekilde kapatıldı
2025-08-11 07:48:39 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-11 07:48:39 | mevzuat_main | INFO | Mevzuat Sistemi Enhanced başlatılıyor...
2025-08-11 07:48:39 | QualityEnhancedAppManager | INFO | Logger başlatıldı: QualityEnhancedAppManager
